Número do Termo;Nome da Organização;Nome do Projeto;Tipo de Termo;Portaria que Rege;CNPJ da OSC;Data de Início;Data de Encerramento;Vigência em Meses;Total do Projeto;Valor Repassado;Conta Específica Prevista;É transição?;Processo SEI de Celebração;Processo SEI de Prestação de Contas;Endereço do Projeto;SEI do Plano de Trabalho;SEI do Orçamento Anual;Tem contrapartida?
TFM/031/2024/SMDHC/FUMCAD;CIAM: Centro Israelita de Apoio Multidisciplinar;"A Criança com TEA e sua Família - 
Em Busca do Desenvolvimento";Fomento;;6,16833E+13;01/06/2024;31/05/2025;12;763315,07;702698,74;;;6,0742E+15;6,0742E+15;;;;
TFM/034/2024/SMDHC/FUMCAD;GRAACC: Grupo de Apoio ao Adolescente e a Criança com Câncer;Atendimento de enfermagem no tratamento de crianças e adolescentes com câncer por profissionais qualificados em oncologia pediátrica no hospital do GRAACC;Fomento;;6,71857E+13;01/05/2024;31/12/2025;20;9063503,52;8093071,07;;;6,0742E+15;6,0742E+15;;;;
TFM/037/2024/SMDHC/FUMCAD;GOYN - United Way Brasil;Crescer Aprendendo;Fomento;;4,73585E+12;01/07/2024;30/06/2025;12;638955,96;638955,96;;;6,0742E+15;6,0742E+15;;;;
TFM/033/2024/SMDHC/CPM;Instituto Hera Artemisul / Casa da Mulher Paulistana;Fios de Berenice;Fomento;;3,39452E+13;18/04/2024;17/04/2025;12;250250;250250;;;6,0742E+15;6,0742E+15;;;;
TFM/040/2024/SMDHC/FUMCAD;APAE: Associação de Pais e Amigos dos Excepcionais de São Paulo / Instituto Jô Clemente;Prevenção e Qualidade de Vida na Primeira Infância;Fomento;;6,05022E+13;01/05/2024;30/04/2025;12;593034,3;593034,3;;;6,0742E+15;6,0742E+15;;;;
TFM/041/2024/SMDHC/FUMCAD;APAE: Associação de Pais e Amigos dos Excepcionais de São Paulo / Instituto Jô Clemente;Orientar para Incluir;Fomento;;6,05022E+13;01/05/2024;30/04/2025;12;799759,75;799759,75;;;6,0742E+15;6,0742E+15;;;;
TFM/035/2024/SMDHC/FUMCAD;CEJA BRASIL: Centro Educacional Jovem Aprendiz do Brasil;Curso de Programação Full-Stack;Fomento;;1,54093E+13;01/06/2024;31/05/2025;12;701204;701204;;;6,0742E+15;6,0742E+15;;;;
TFM/045/2024/SMDHC/FUMCAD;FUNDASP: Fundação São Paulo;O autoconhecimento como facilitador na promoção de autonomia, protagonismo e cidadania do adolescente surdo;Fomento;;6,09908E+13;01/05/2024;30/04/2026;24;316447,27;235443,47;;;6,0742E+15;6,0742E+15;;;;
TFM/038/2024/SMDHC/FUMCAD;UNAS: União de Núcleos, Associações dos Moradores de Heliópolis e Região;Adolescentes em Ação: Educação para Liberdade;Fomento;;3,88837E+13;01/05/2024;30/04/2026;24;1538116,49;1150944,92;;;6,0742E+15;6,0742E+15;;;;
TFM/027/2024/SMDHC/FUMCAD;Associação dos Cavaleiros da Soberana Ordem Militar de Malta de São Paulo e Brasil Meridional;Jogos Digitais/Virtuais: Construindo Caminhos para a Prática da Atividade Esportiva no Mundo Digital;Fomento;;6,28089E+13;01/05/2024;30/04/2025;12;211905,41;211905,41;;;6,0742E+15;6,0742E+15;;;;
TFM/032/2024/SMDHC/FUMCAD;Associação Escola Comum - MF;Educação em Direitos Humanos;Fomento;;3,31501E+13;01/05/2024;30/04/2026;24;587082,4;443087,2;;;6,0742E+15;6,0742E+15;;;;
TFM/042/2024/SMDHC/FUMCAD;Instituto Bixiga - Pesquisa, Formação e Cultura Popular;Diver-Cidade;Fomento;;3,33984E+13;01/06/2024;31/05/2025;12;302368;302368;;;6,0742E+15;6,0742E+15;;;;
TFM/043/2024/SMDHC/FUMCAD;Aldeia do Futuro;Conectando o Futuro;Fomento;;7,41371E+13;01/06/2024;31/05/2025;12;751716,6;751716,6;;;6,0742E+15;6,0742E+15;;;;
TFM/036/2024/SMDHC/FUMCAD;IOS: Instituto da Oportunidade Social;Inclusão Produtiva de Jovens da Zona Leste no Mundo do Trabalho;Fomento;;2,44928E+12;01/08/2024;31/07/2025;12;482245,09;482245,09;;;6,0742E+15;6,0742E+15;;;;
TCL/013/2024/SMDHC/CPPSR;Centro Assistencial ao Povo Carente do Estado de São Paulo;Gestão do Estação Cidadania;Colaboração;;3,84093E+12;01/04/2024;31/03/2027;36;14272370,55;3784884,6;;;6,0742E+15;6,0742E+15;;;;
TFM/025/2024/SMDHC/FUMCAD;Associação dos Cavaleiros da Soberana Ordem Militar de Malta de São Paulo e Brasil Meridional;A importância do protagonismo paterno aliado à educação em saúde básica no desenvolvimento saudável na primeira infância;Fomento;;6,28089E+13;01/06/2024;31/05/2025;12;63280,26;63280,26;;;6,0742E+15;6,0742E+15;;;;
TFM/054/2024/SMDHC/FUMCAD;APAE: Associação de Pais e Amigos dos Excepcionais de São Paulo / Instituto Jô Clemente;Garantia do Diagnóstico de Deficiência Intelectual;Fomento;;6,05022E+13;01/06/2024;31/05/2025;12;1628300,7;1628300,7;;;6,0742E+15;6,0742E+15;;;;
TFM/059/2024/SMDHC/FMID;ICC: Instituto Casa Comum;Asas à longevidade: autonomia e segurança;Fomento;;2,70795E+13;01/06/2024;31/08/2025;15;206760;206760;;;6,0742E+15;6,0742E+15;;;;
TFM/061/2024/SMDHC/FUMCAD;Ação Comunitária do Brasil – São Paulo / Vocação;Trabalho em ação;Fomento;;6,17502E+13;01/06/2024;31/05/2025;12;2666569,93;2666569,93;;;6,0742E+15;6,0742E+15;;;;
TFM/062/2024/SMDHC/FUMCAD;Instituto Sorrir para Vida;Sorriso Bonito;Fomento;;9,66539E+12;01/06/2024;31/05/2025;12;271051,86;271051,86;;;6,0742E+15;6,0742E+15;;;;
TFM/052/2024/SMDHC/FUMCAD;AHPAS: Associação Helena Piccardi de Andrade Silva / Instituto Heleninha;"Integralidade e garantia de direitos: acesso ao tratamento
oncológico para crianças e adolescentes e atendimento socioassistencial a famílias dos
atendidos em vulnerabilidade social
";Fomento;;3,87391E+12;01/05/2024;30/04/2025;12;796509,87;796509,87;;;6,0742E+15;6,0742E+15;;;;
TFM/029/2024/SMDHC/CPPI;Instituto de Assistência Social Saúde, Educação, Cultura, Turismo e Lazer / Gera Intergerações;1° Workshop sobre o Estatuto da Pessoa Idosa;Fomento;;3,42763E+13;08/04/2024;07/04/2025;12;170000;170000;;;6,0742E+15;6,0742E+15;;;;
TFM/047/2024/SMDHC/CPIPTD;Instituto Esperança em Cristo;Oficina de estética capilar;Fomento;;1,56248E+13;06/05/2024;05/07/2024;2;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/057/2024/SMDHC/DEDH;AEB: Associação Evangélica Beneficente;Capacitação para colaboradores de assistência social e educação ;Fomento;;6,17059E+13;03/06/2024;02/12/2024;6;112000;112000;;;6,0742E+15;6,0742E+15;;;;
TFM/049/2024/SMDHC/CPM;MDF: Movimento de Defesa das Favelas; Bike Favela;Fomento;;5,4636E+13;07/05/2024;06/11/2024;6;80000;80000;;;6,0742E+15;6,0742E+15;;;;
TFM/050/2024/SMDHC/CPM;MDF: Movimento de Defesa das Favelas; Reciclaorgânico;Fomento;;5,4636E+13;07/05/2024;06/11/2024;6;120000;120000;;;6,0742E+15;6,0742E+15;;;;
TFM/056/2024/SMDHC/CPM;Clube de Mães do Brasil;Costurando Retalhos Transformando o Futuro;Fomento;;7,34909E+13;03/06/2024;02/04/2025;10;160400;160400;;;6,0742E+15;6,0742E+15;;;;
TFM/058/2024/SMDHC/CPIPTD;Instituto BECEI;Fomento a Participação Social;Fomento;;1,96313E+13;20/05/2024;19/08/2024;3;40000;40000;;;6,0742E+15;6,0742E+15;;;;
TFM/067/2024/SMDHC/CPPSR;Instituto BECEI;Pot Oportinidades;Fomento;;1,96313E+13;27/05/2024;26/12/2024;7;200000;200000;;;6,0742E+15;6,0742E+15;;;;
TFM/068/2024/SMDHC/CPIPTD;BIBLIASPA - Biblioteca / Centro de Pesquisa América do Sul, Países Árabes e África;Acompanhamento e Integração Intercultural para Famílias Afegãs;Fomento;;8,80101E+12;27/05/2024;26/09/2024;4;200000;200000;;;6,0742E+15;6,0742E+15;;;;
TFM/069/2024/SMDHC/CPM;Instituto SOS Gente;Projeto Acelera Mulher;Fomento;;8,34335E+12;03/06/2024;02/01/2025;7;147000;147000;;;6,0742E+15;6,0742E+15;;;;
TFM/046/2024/SMDHC/CPM;Instituto Hera Artemisul / Casa da Mulher Paulistana;Projeto Aracne;Fomento;;3,39452E+13;01/05/2024;04/01/2025;8;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/044/2024/SMDHC/CPPSR;Instituto BECEI;Botão Social;Fomento;;1,96313E+13;22/04/2024;21/10/2024;6;100000;100000;;;6,0742E+15;6,0742E+15;;;;
