Número do Termo;Nome da Organização;Nome do Projeto;Tipo de Termo;Portaria que Rege;CNPJ da OSC;Data de Início;Data de Encerramento;Vigência em Meses;Total do Projeto;Valor Repassado;Conta Específica Prevista;É transição?;Processo SEI de Celebração;Processo SEI de Prestação de Contas;Endereço do Projeto;SEI do Plano de Trabalho;SEI do Orçamento Anual;Tem contrapartida?
TCV/002/2006/SEPP/CPLGBTI;Associação da Parada do Orgulho de Gays, Lésbicas, Bissexuais e Transgêneros de São Paulo;Comemoração dos 10 Anos da Parada do Orgulho LGBT de São Paulo;Convênio;;3,30831E+12;09/10/2006;10/11/2006;1;150000;150000;;;-;6,0742E+15;;;;
TCV/002/2007/CADS/CPLGBTI;Associação Cultural Mix Brasil;XV Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual;Convênio;;4,12758E+12;30/10/2007;22/11/2007;1;130000;130000;;;-;6,0742E+15;;;;
TCV/001/2008/SMPP/CPLGBTI;ACESD: Associação Cultural Educacional e Social Dynamite;Virada LGBT - Retrospectiva de Teatro;Convênio;;7,15797E+12;23/01/2008;26/02/2008;1;22700;22700;;;-;6,0742E+15;;;;
TCV/002/2008/SEPP/CPLGBTI;ACESD: Associação Cultural Educacional e Social Dynamite;Virada Musical GLBTTT;Convênio;;7,15797E+12;00/01/1900;00/01/1900;1;0;0;;;-;-;;;;
TCV/003/2008/SMPP/CPLGBTI;ACESD: Associação Cultural Educacional e Social Dynamite;Virada GLBTTT - Retrospectiva de Cinema;Convênio;;7,15797E+12;23/01/2008;26/02/2008;1;19000;19000;;;-;6,0742E+15;;;;
TCV/005/2008/SMPP/CPLGBTI;Cooperativa Paulista de Teatro;Virada Cultural da Diversidade Humana;Convênio;;5,15618E+13;23/01/2008;26/02/2008;1;29030;29030;;;-;6,0742E+15;;;;
TCV/006/2008/SMPP/CPLGBTI;Associação Mais Diferenças;A Soma de Nós;Convênio;;7,84464E+12;23/01/2008;26/02/2008;1;10000;10000;;;-;6,0742E+15;;;;
TCV/008/2008/SMPP/CPLGBTI;Centro Informação Mulher;Almas em Corpos Nus;Convênio;;5,34546E+13;28/01/2008;29/01/2008;1;24500;24500;;;-;6,0742E+15;;;;
TCV/163/2009/CADS/CPLGBTI;Associação Cultural Mix Brasil;XV Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual;Convênio;;4,12758E+12;11/11/2009;22/11/2009;1;99490;99490;;;-;6,0742E+15;;;;
TCV/113/2010/SMPP/CONPARES;INDESC: Instituto Nacional de Desenvolvimento Social e Cultural;Programa Escola Estufa Lucy Montoro;Convênio;;07393987000109 ;01/09/2010;30/09/2011;13;1437153;1437153;;;6,0742E+15;6,0742E+15;;;;
TCV/189/2010/SMPP/CPLGBTI;Associação Cultural Mix Brasil;18° Festival Mix Brasil de Cinema e Vídeo da Diversidade Sexual;Convênio;;4,12758E+12;10/11/2010;01/02/2011;3;98000;98000;;;-;6,0742E+15;;;;
TCV/001/2011/SMPP/CPD;SPDM - Associação Paulista para o Desenvolvimento da Medicina;Instalação e Manutenção de Estrutura Administrativa e Operacional - EAOCL;Convênio;;6,16996E+13;28/04/2011;26/04/2012;12;3438431;3438431;;;-;6,0742E+15;;;;
TCV/206/2011/SMPP/CPD;Pró-Saúde - Associação Beneficente de Assistência Social e Hospitalar;Instalação e Manutenção de Estrutura Administrativa e Operacional - EAOCL;Convênio;;2,42329E+13;01/02/2012;31/03/2013;14;4268941,83;4268941,83;;;6,0742E+15;6,0742E+15;;;;
TCV/042/2012/SMPP/CPJ;Associação Frida Kahlo;Semana do Hip Hop 2012;Convênio;;8,27877E+12;19/03/2012;28/04/2012;1;99750;99750;;;-;6,0742E+15;;;;
TCV/001/2013/SMPIR/CPIR;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Afrobrasilidade, Cultura e Educação na Urbanidade;Convênio;;5,73957E+13;18/10/2013;09/11/2013;1;12000;12000;;;-;6,0742E+15;;;;
TCV/002/2013/SMPIR/CPIR;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Áreas de Conflito em Transformação;Convênio;;5,73957E+13;18/10/2013;17/11/2013;1;22000;22000;;;-;6,0742E+15;;;;
TCV/087/2013/SMDHC/CPJ;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Percursos em Defesa da Diversidade Cultural;Convênio;;5,73957E+13;20/11/2013;19/04/2014;5;100000;100000;;;-;6,0742E+15;;;;
TCV/088/2013/SMDHC/CPJ;Associação Franciscana de Direitos e Formação Popular;Jovens Promotores de Direitos Humanos e Diversidade;Convênio;;1,11406E+13;16/12/2013;13/08/2014;8;77946;77946;;;-;6,0742E+15;;;;
TCV/089/2013/SMDHC/DEDH;Instituto Vladimir Herzog;Respeitar é preciso!;Convênio;;1,11509E+13;01/12/2013;30/11/2015;24;349600;349600;;;-;2,014E+11;;;;
TCV/106/2013/SMDHC/CPDDH;Intervozes - Coletivo Brasil de Comunicação Social;Comunica DH;Convênio;;6,04091E+12;21/01/2014;30/09/2014;8;70568;70568;;;-;6,0742E+15;;;;
TCV/107/2013/SMDHC/CPDDH;OKBR: Open Knowledge Foundation Brasil;Comunica DH;Convênio;;1,91312E+12;20/12/2013;20/06/2014;6;71970;71970;;;-;6,0742E+15;;;;
TCV/108/2013/SMDHC/CPLGBTI;USCS: Universidade Municipal de São Caetano do Sul;Formando para Diversidade;Convênio;;4,43922E+13;02/12/2013;01/12/2014;12;60000;60000;;;-;6,0742E+15;;;;
TCV/019/2014/SMDHC/CPCA;CEDECA: Centro de Defesa dos Direitos Humanos da Criança e Adolescente Interlagos;Projeto Oficina;Convênio;;3,1292E+12;01/07/2014;30/06/2015;12;510434,94;510434,94;;;-;6,0742E+15;;;;
TCV/054/2014/SMDHC/CPPI;ABRAPEFE: Associação Brasileira dos Profissionais de Educação Física e Esporte;Jogos Municipais dos Idosos - JOMI;Convênio;;1,31174E+13;28/10/2014;27/12/2015;14;486000;486000;;;6,0742E+15;6,0742E+15;;;;
TCV/057/2014/SMDHC/CPDDH;Associação Rede Cidadã Multicultural;Capacitação de Entidades;Convênio;;1,12239E+13;01/11/2014;30/10/2015;12;272000;272000;;;6,0742E+15;6,0742E+15;;;;
TCV/058/2014/SMDHC/CPDDH;Instituto de Educação e Direitos Humanos Paulo Freire;Formação de Conselheiros em Direitos Humanos e Participação Social;Convênio;;4,9506E+12;01/01/2015;31/12/2015;12;584241;584241;;;6,0742E+15;6,0742E+15;;;;
TCV/059/2014/SMDHC/CPLGBTI;Associação Cultural Mix Brasil;22° Festival Mix Brasil de Cultura da Diversidade;Convênio;;4,12758E+12;28/10/2014;28/04/2015;6;150000;150000;;;-;6,0742E+15;;;;
TCV/060/2014/SMDHC/CPLGBTI;Associação Rede Cidadã Multicultural;Gestão do Centro de Cidadania LGBT e Unidade Móvel de Cidadania LGBT;Convênio;;1,12239E+13;28/10/2014;27/04/2016;18;799600;799600;;;6,0742E+15;6,0742E+15;;;;
TCV/061/2014/SMDHC/SME;SME: Secretaria Municipal de Educação;-;Convênio;;4,63921E+13;24/10/2014;23/04/2016;18;0;0;;;-;-;;;;
TCV/093/2014/SMDHC/CPPSR;OAF: Organização Auxílio Fraterno;Implantação de um Espaço Coletivo Estratégico que Permita a Pessoas em Situação de Rua Desfrutar de Seus Direitos Econômicos, Sociais e Culturais, Assim Como Efetivar o seu Direito ao Desenvolvimento;Convênio;;6,09078E+13;02/01/2015;01/05/2015;4;539735,69;539735,69;;;-;6,0742E+15;;;;
TCV/104/2014/SMDHC/CPJ;Associação Cultural e Artística Cine Favela;A Promoção da Cultura de Paz Associada à Valorização da Herança Africana na Cultura Brasileira;Convênio;;6,37301E+12;20/05/2015;18/01/2016;8;50000;50000;;;-;6,0742E+15;;;;
TCV/006/2015/SMDHC/CPJ;A Banca;Quebrando Bolhas;Convênio;;1,09211E+13;20/05/2015;18/11/2015;6;49840;49840;;;-;6,0742E+15;;;;
TCV/007/2015/SMDHC/CPJ;Ação Educativa - Assessoria, Pesquisa e Informação;Rede Paulista de Futebol Callejero (Futebol de Rua) - Pela Prática do Esporte Colaborativo e Garantia dos Direitos Humanos;Convênio;;1,34362E+11;20/05/2015;18/11/2015;6;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TCV/008/2015/SMDHC/CPJ;ANDHEP: Associação Nacional de Direitos Humanos, Pesquisa e Pós-Gradução;Cartografias da Memória;Convênio;;6,99177E+12;20/05/2015;18/01/2016;8;50000;50000;;;-;6,0742E+15;;;;
TCV/009/2015/SMDHC/CPJ;CEAC: Centro de Estudos Apolônio de Carvalho;Batucada Popular Carlos Marighella;Convênio;;7,92483E+12;15/05/2015;15/01/2016;8;48378,5;48378,5;;;-;6,0742E+15;;;;
TCV/010/2015/SMDHC/CPJ;Arrastão Movimento de Promoção Humana;Juventude Cultural;Convênio;;4,30822E+13;20/05/2015;18/01/2016;8;47341,36;47341,36;;;-;6,0742E+15;;;;
TCV/011/2015/SMDHC/CPJ;Instituição Maria José Educar;Batuquedum;Convênio;;5,09972E+12;20/05/2015;18/01/2016;8;50000;50000;;;-;2,01404E+11;;;;
TCV/012/2015/SMDHC/CPJ;Associação Cultural Recreativa Esportiva Bloco do Beco;Maracatu para Todos - Valorizando as Culturas AfroBrasileiras;Convênio;;6,04242E+12;20/05/2015;18/01/2016;8;50000;50000;;;-;6,0742E+15;;;;
TCV/013/2015/SMDHC/CPJ;CAF: Casa Assistência Filadélfia;Meu corpo, meu bem;Convênio;;6,64464E+11;00/01/1900;00/01/1900;1;0;0;;;-;2,01404E+11;;;;
TCV/014/2015/SMDHC/CPJ;CEBRAP: Centro Brasileiro de Análise e Planejamento;"Jovens Promotores(as) Legais Populares; Protagonistas de Seus Direitos e Territórios";Convênio;;6,25792E+13;20/05/2015;18/11/2015;6;49998,94;49998,94;;;-;6,0742E+15;;;;
TCV/016/2015/SMDHC/CPJ;Instituto Social Dandara de Sustentabilidade e Cidadania;Sound System Graffti: Musicalmente Pintando a Quebrada;Convênio;;1,19423E+13;10/06/2015;09/12/2015;6;50000;50000;;;-;6,0742E+15;;;;
TCV/017/2015/SMDHC/CPJ;"Instituto de Juventude, Iniciação, Formação e Capacitação Profissional ""Daniel Comboni""";Comunica #Ação de Web Rádio;Convênio;;1,81759E+12;13/04/2015;08/01/2016;9;49818,7;49818,7;;;-;6,0742E+15;;;;
TCV/018/2015/SMDHC/CPJ;Centro de Convivência É de Lei;Território Maravilha;Convênio;;4,89358E+12;20/05/2015;18/01/2016;8;48776;48776;;;-;6,0742E+15;;;;
TCV/019/2015/SMDHC/CPJ;Instituto Nação / AfroBase;Afrobase;Convênio;;1,1107E+12;20/05/2015;19/10/2015;5;49776,14;49776,14;;;-;6,0742E+15;;;;
TCV/020/2015/SMDHC/CPJ;Associação de Moradores do Jardim Comercial e Adjacências;Reflexão Ativa Periférica;Convênio;;5,21642E+13;20/05/2015;18/01/2016;8;49739,4;49739,4;;;-;6,0742E+15;;;;
TCV/021/2015/SMDHC/CPJ;Mudança de Cena;Em Quadro - Diálogos por uma Juventude Viva;Convênio;;5,39029E+12;20/05/2015;18/11/2015;6;49990;49990;;;-;6,0742E+15;;;;
TCV/022/2015/SMDHC/CPJ;Museu Afro Brasil;Akpalô;Convênio;;7,25896E+12;00/01/1900;00/01/1900;1;49930,2;49930,2;;;-;2,01404E+11;;;;
TCV/023/2015/SMDHC/CPJ;Comunidade Nova Civilização;Escola Livre de Comunicação, Cultura e Cidadania;Convênio;;7,7614E+12;20/05/2015;18/01/2016;8;50000;50000;;;-;6,0742E+15;;;;
TCV/024/2015/SMDHC/CPJ;Instituto Pombas Urbanas;Território Maravilha;Convênio;;5,41636E+12;20/05/2015;18/11/2015;6;50000;50000;;;-;6,0742E+15;;;;
TCV/025/2015/SMDHC/CPJ;Associação Centro de Arte e Educação São Mateus em Movimento;Juventude em Movimento;Convênio;;1,43153E+13;15/05/2015;13/01/2016;8;50000;50000;;;-;6,0742E+15;;;;
TCV/019/2014/SMDHC/CPPSR;CEDECA: Centro de Defesa dos Direitos Humanos da Criança e Adolescente Interlagos;Projeto Oficina;Convênio;;3,1292E+12;01/07/2015;30/06/2016;12;561478,38;561478,38;;;-;6,0742E+15;;;;
TCV/028/2015/SMDHC/CPD;UNAS: União de Núcleos, Associações dos Moradores de Heliópolis e Região;Blitz Jovem;Convênio;;3,88837E+13;12/08/2015;10/08/2016;12;135000;135000;;;-;6,0742E+15;;;;
TCV/029/2015/SMDHC/CPD;CCJA: Centro Comunitário Jardim Autódromo;Prrojetos Sócio-Educativos Voltados à Prevenção do Uso de Drogas Entre Adolescentes e Jovens;Convênio;;5,71847E+13;01/07/2015;29/06/2016;12;135000;135000;;;-;2,01601E+11;;;;
TCV/040/2015/SMDHC/CPLGBTI;Associação Koinonia;Programa Transcidadania;Convênio;;1,13248E+11;04/05/2015;03/05/2017;24;987600;987600;;;-;6,0742E+15;;;;
TCV/043/2015/SMDHC/CPD;Associação Sabiá;Cidadania Rodante nas Ruas da Luz;Convênio;;5,5906E+12;03/08/2015;01/10/2016;14;700000;700000;;;-;6,0742E+15;;;;
TCV/060/2015/SMDHC/CPD;AMHD: Associação Maria Helen Drexel;Prrojetos Sócio-Educativos Voltados à Prevenção do Uso de Drogas Entre Adolescentes e Jovens;Convênio;;4,40062E+13;09/11/2015;07/11/2016;12;104448;104448;;;-;6,0742E+15;;;;
TCV/061/2014/SMDHC/CPIPTD;SEFRAS - Ação Social Franciscana;Promoção de Direitos e Orientação à População Migrante no Centro de Referência e Acolhida para Imigrantes de São Paulo;Convênio;;1,18611E+13;29/10/2015;27/10/2016;12;568800;568800;;;-;6,0742E+15;;;;
TCV/062/2015/SMDHC/CPD;CCL: Cáritas Campo Limpo;Mãe que Acolhe;Convênio;;6,40331E+13;03/11/2015;01/11/2016;12;126193,2;126193,2;;;-;6,0742E+15;;;;
TCV/116/2015/SMDHC/CPDDH;Associação Rede Cidadã Multicultural;Capacitação de Entidades;Convênio;;1,12239E+13;10/11/2015;08/01/2017;14;525000;525000;;;6,0742E+15;6,0742E+15;;;;
TCV/157/2015/SMDHC/CPLGBTI;Associação Cultural Mix Brasil;23° Festival Mix Brasil de Cultura da Diversidade;Convênio;;4,12758E+12;04/12/2015;02/12/2016;12;30000;30000;;;-;6,0742E+15;;;;
TCV/158/2015/SMDHC/CPLGBTI;UNAS: União de Núcleos, Associações dos Moradores de Heliópolis e Região;Implementação do Centro de Cidadania LGBT da Zona Sul;Convênio;;3,88837E+13;01/12/2015;29/01/2017;14;667993,72;667993,72;;;6,0742E+15;6,0742E+15;;;;
TCV/001/2016/SMPM/CPM;AMZOL: Associação de Mulheres da Zona Leste;Gestão de Centro de Referência da Mulher de São Miguel Paulista;Convênio;;5,79995E+13;12/02/2016;11/02/2017;12;395051,92;395051,92;;;6,0742E+15;6,0742E+15;;;;
TCV/064/2016/SMDHC/CPLGBTI;CRDC: Centro de Recreação e Desenvolvimento da Criança Especial;São Paulo de Todas as Cores;Convênio;;7,39649E+12;26/08/2016;25/12/2016;4;400000;400000;;;-;6,0742E+15;;;;
TCV/065/2016/SMDHC/CPJ;CEMJ: Centro de Estudos e Memória da Juventude;Centro de Cidadania LGBT Zona Norte;Convênio;;5,60961E+13;31/08/2016;31/12/2016;4;270443,77;270443,77;;;6,0742E+15;6,0742E+15;;;;
TCV/058/2016/SMDHC/CPM;Associação a Mulher e o Movimento Hip Hop;Hip Hop Mulheres;Convênio;;1,07152E+13;16/09/2016;16/10/2016;1;345400;345400;;;-;6,0742E+15;;;;
TCV/003/2016/SMPM/CPM;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Casa de Acolhimento Provisório de Curta Duração, na Zona Norte de São Paulo;Convênio;;5,73957E+13;06/12/2016;05/12/2018;24;3474108,96;3474108,96;;;6,0742E+15;6,0742E+15;;;;
TCL/003/2016/SMPM/CPM;UPM: União Popular de Mulheres de Campo Limpo e Adjacências;Casa de Acolhimento Provisório de Curta Duração, na Zona Norte de São Paulo;Colaboração;;5,73957E+13;06/12/2018;05/11/2025;84;13136110,47;13136110,47;;;6,0742E+15;6,0742E+15;;;;
TFM/002/2017/SMDHC/CPLGBTI;CRDC: Centro de Recreação e Desenvolvimento da Criança Especial;Manutenção das ações no Centro de Cidadania LGBT - Zona Leste;Fomento;;7,39649E+12;28/01/2017;27/07/2017;6;301240;301240;;;-;6,0742E+15;;;;
TFM/003/2017/SMDHC/DEDH;Associação Instituto de Política e Formação Cidadã - Escola de Governo;Formação em Direitos Humanos e Cidadania: Teoria e Prática;Fomento;;6,70046E+13;14/11/2017;13/01/2018;2;150000;150000;;;6,0742E+15;6,0742E+15;;;;
TFM/052/2018/SMDHC/CPM;Instituto Herdeiros do Futuro;Manutenção no Centro de Referência da Mulher de Capão Redondo, nessa região, na Cidade de São Paulo;Fomento;;8,3461E+12;19/04/2018;18/10/2018;6;120129,4;120129,4;;;6,0742E+15;6,0742E+15;;;;
TFM/071/2018/SMDHC/CPDDH;Cáritas Brasileira - Regional São Paulo;Exposição Biográfica - Dom Paulo Evaristo Arns;Fomento;;3,36544E+13;07/06/2018;06/12/2018;6;380000;380000;;;6,0742E+15;6,0742E+15;;;;
TFM/001/2018/SMDHC/DEDH;Polo Cultural - Educação e Arte;Implementação e execução da Programação Sócio-Cultural da CONADP 2018;Fomento;;2,88307E+12;06/07/2018;04/09/2018;2;286000;286000;;;6,0742E+15;6,0742E+15;;;;
TFM/001/2018/SMDHC/CPIR;Associação Assistencial Liberdade Canto e Dança;Projeto de formação trajetórias do africano no espaço geográfico brasileiro;Fomento;;5,83784E+13;18/07/2018;17/10/2018;3;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/002/2018/SMDHC/DEDH;ONG Cecidiaidelcio Centro Esportivo e Cultura para Todos;"Promoção do encontro anual ""Hermelino mais Humano""";Fomento;;1,86341E+13;27/07/2018;25/09/2018;2;15000;15000;;;6,0742E+15;6,0742E+15;;;;
TFM/003/2018/SMDHC/DEDH;Instituto Vladimir Herzog;"Usina de Valores - ""Direitos Humanos na perspectiva de coletivos religiosos""";Fomento;;1,11509E+13;04/10/2018;02/10/2019;12;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/004/2018/SMDHC/DEDH;Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade;IDEAS Cidadania;Fomento;;2,09776E+12;01/11/2018;30/11/2019;13;615000;615000;;;6,0742E+15;6,0742E+15;;;;
TFM/005/2018/SMDHC/CPCA;IOK: Instituto Olga Kos de Inclusão Social;I Jornada Olga Kos - Inclusão da Pessoa com Deficiência;Fomento;;8,74568E+12;22/11/2018;21/02/2019;3;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/006/2018/SMDHC/CPPSR;SEFRAS - Ação Social Franciscana;Barbearia Solidária da População em Situação de Rua;Fomento;;1,18611E+13;28/11/2018;19/06/2019;7;20000;20000;;;6,0742E+15;6,0742E+15;;;;
TFM/006/2018/SMDHC/DEDH;Instituto Vladimir Herzog;GTP Territórios;Fomento;;1,11509E+13;30/11/2018;29/07/2019;8;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TCL/002/2018/SMDHC/CPPSR;Instituto BECEI;POT PopRua;Colaboração;;1,96313E+13;05/11/2018;31/08/2019;10;121849;121849;;;6,0742E+15;6,0742E+15;;;;
TFM/020/2019/SMDHC/CPJ;Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade;Juventude Paulistana;Fomento;;2,09776E+12;18/04/2019;18/05/2019;1;200000;200000;;;6,0742E+15;6,0742E+15;;;;
TFM/030/2019/SMDHC/CPDDH;Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade;Semana da Cidadania e Solidariedade o Resgatador;Fomento;;2,09776E+12;14/06/2019;14/07/2019;1;400000;400000;;;6,0742E+15;6,0742E+15;;;;
TFM/031/2019/SMDHC/CPDDH;Instituto Abammy - Associação Beneficente de Atendimento ao Menor, às Mulheres e Idosos em Situação de Vulnerabilidade;Clama Brasil Cidadania no Itaim Paulista;Fomento;;2,09776E+12;19/06/2019;19/07/2019;1;280000;280000;;;6,0742E+15;6,0742E+15;;;;
TFM/041/2019/SMDHC/CPCA;ARCO - Associação Beneficente;Fênix - Trabalho de Resiliência com famílias que possuem crianças com idade de 1 a 6 anos;Fomento;;6,68627E+13;26/08/2019;25/08/2020;12;30000;30000;;;6,0742E+15;6,0742E+15;;;;
TFM/042/2019/SMDHC/CPIPTD;CDHIC: Centro de Direitos Humanos e Cidadania do Imigrante;Espaço Migrantes: Promovendo a Cidadania de Imigrantes e Refugiados em São Paulo;Fomento;;1,12339E+13;26/08/2019;24/08/2020;12;120000;120000;;;6,0742E+15;6,0742E+15;;;;
TFM/045/2019/SMDHC/CPCA;AMHD: Associação Maria Helen Drexel;Inovare;Fomento;;4,40062E+13;26/08/2019;24/08/2020;12;80000;80000;;;6,0742E+15;6,0742E+15;;;;
TFM/043/2019/SMDHC/CPCA;Associação Fazendo História;Famílias Acolhedoras - Uma Prioridade;Fomento;;7,32504E+12;28/08/2019;26/02/2020;6;40000;40000;;;6,0742E+15;6,0742E+15;;;;
TFM/044/2019/SMDHC/CPPSR;UNISOL Brasil - Central de Cooperativas e Empreendimentos Solidários do Brasil;Estampavira;Fomento;;7,29359E+12;06/09/2019;02/04/2020;7;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/048/2019/SMDHC/CPCA;Associação Fazendo História;Suporte Técnico e Qualificação dos Conselhos Tutelares de São Paulo - Brasilândia, Vila Maria e Sé;Fomento;;7,32504E+12;18/09/2019;18/03/2020;6;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/049/2019/SMDHC/CPCA;Arrastão Movimento de Promoção Humana;Arrastão Social;Fomento;;4,30822E+13;25/09/2019;24/08/2020;11;130000;130000;;;6,0742E+15;6,0742E+15;;;;
TFM/055/2019/SMDHC/CPPSR;Instituto BECEI;POT PopRua;Fomento;;1,96313E+13;25/09/2019;24/01/2020;4;68400;68400;;;6,0742E+15;6,0742E+15;;;;
TFM/058/2019/SMDHC/CPLGBTI;Instituto Omindaré;Um Olhar Transversal;Fomento;;1,38984E+13;08/10/2019;07/04/2020;6;70000;70000;;;6,0742E+15;6,0742E+15;;;;
TFM/061/2019/SMDHC/CPPSR;FLACSO Brasil: Faculdade Latino-Americana de Ciências Sociais;Fortalecimento do Núcleo de Defesa dos Direitos Humanos da População em Situação de Rua e Catadores de Materiais Recicláveis;Fomento;;2,78199E+13;25/10/2019;28/05/2021;19;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/062/2019/SMDHC/CPCA;Associação Cedro do Líbano de Proteção à Infância;Encantadores de História;Fomento;;6,28518E+13;06/11/2019;30/11/2020;13;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/063/2019/SMDHC/DEDH;Cáritas Brasileira - Regional São Paulo;Dom Paulo Evaristo Arns, 95 Anos;Fomento;;3,36544E+13;07/11/2019;07/05/2020;6;335000;335000;;;6,0742E+15;6,0742E+15;;;;
TFM/065/2019/SMDHC/CPCA;IOK: Instituto Olga Kos de Inclusão Social;II Jornada Olga Kos - Inclusão da Pessoa com Deficiência Intelectual;Fomento;;8,74568E+12;13/11/2019;12/02/2020;3;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/066/2019/SMDHC/CPCA;Associação Beneficente Santa Fé;Oficina da Linguagem;Fomento;;7,17296E+13;13/11/2019;11/11/2020;12;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/068/2019/SMDHC/CPM;INDES: Instituto para o Desenvolvimento Sustentável;Tempo de Despertar - Reflexão e Responsabilização de Homens Autores de Violência Contra a Mulher;Fomento;;7,58197E+12;13/11/2019;27/07/2021;21;130000;130000;;;6,0742E+15;6,0742E+15;;;;
TFM/064/2019/SMDHC/CPLGBTI;Grupo Pela VIDDA: Valorização Integração e Dignidade do Doente de Aids de São Paulo;Atendimento à População LGBT;Fomento;;6,78363E+13;14/11/2019;14/05/2020;6;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/073/2019/SMDHC/CPDDH;A Alternativa - Associação de Assistência ao Excepcional;Sentir-se Útil;Fomento;;5,38357E+13;21/11/2019;21/05/2020;6;49998,48;49998,48;;;6,0742E+15;6,0742E+15;;;;
TFM/074/2019/SMDHC/CPLGBTI;CEDEC: Centro de Estudos de Cultura Contemporânea;Mapeamento das Pessoas Trans no Município de São Paulo;Fomento;;4,86083E+13;22/11/2019;21/09/2020;10;266000;266000;;;6,0742E+15;6,0742E+15;;;;
TFM/072/2019/SMDHC/CPDDH;Fundação de Apoio à Universidade Federal de São Paulo;Smart Place (Departamento de Oftalmologia e ciências Visuais da Escola Paulista de Medicina/ Universidade Federal de São Paulo;Fomento;;7,438E+12;26/11/2019;27/04/2022;29;200000;200000;;;6,0742E+15;6,0742E+15;;;;
TFM/078/2019/SMDHC/CPPI;SEFRAS - Ação Social Franciscana;Cultura, Convivência e Lazer: Direitos para os Idosos e Idosas da Casa de Clara;Fomento;;1,18611E+13;28/11/2019;28/03/2020;4;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/067/2019/SMDHC/CPPSR;Instituto BECEI;Pop Rua Cisarte;Fomento;;1,96313E+13;29/11/2019;29/05/2020;6;80000;80000;;;6,0742E+15;6,0742E+15;;;;
TFM/081/2019/SMDHC/CPCA;Instituto Blandina Meirelles - Centro Comunitário e Creche Sinhazinha Meirelles;Família e Primeira infância;Fomento;;6,23918E+13;27/12/2019;04/05/2022;29;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/083/2019/SMDHC/CMMV;Instituto Vladimir Herzog;Livro A Vala;Fomento;;1,11509E+13;27/12/2019;27/12/2020;12;30000;30000;;;6,0742E+15;6,0742E+15;;;;
TFM/085/2019/SMDHC/CMMV;Instituto Vladimir Herzog;Territórios da Memória;Fomento;;1,11509E+13;27/12/2019;27/12/2020;12;100000;100000;;;6,0742E+15;6,0742E+15;;;;
TFM/079/2019/SMDHC/CPCA;Instituto Anglicano;Higiene e saúde na Educação Infantil;Fomento;;5,40135E+12;30/12/2019;30/03/2020;3;220000;220000;;;6,0742E+15;6,0742E+15;;;;
TFM/080/2019/SMDHC/CPIR;ABONG: Associação Brasileira de Organizações Não-Governamentais;O papel das OSCs na luta contra o racismo;Fomento;;6,86306E+13;30/12/2019;29/04/2020;4;30000;30000;;;6,0742E+15;6,0742E+15;;;;
TFM/082/2019/SMDHC/CPCA;Instituto Projeto Sonhar;Projeto Sonhar Famílias - Assitência Social em Domicílio;Fomento;;1,96163E+13;30/12/2019;30/05/2020;5;50000;50000;;;6,0742E+15;6,0742E+15;;;;
TFM/084/2019/SMDHC/CPJ;Instituto Tecnológico Inovação;Bora Inovar;Fomento;;7,46622E+12;30/12/2019;01/04/2021;15;58000;58000;;;6,0742E+15;6,0742E+15;;;;
TFM/086/2019/SMDHC/CPDDH;Instituto Tecnológico Inovação;Hora do Código;Fomento;;7,46622E+12;30/12/2019;28/12/2020;12;43300;43300;;;6,0742E+15;6,0742E+15;;;;
TFM/087/2019/SMDHC/CPDDH;CEPP: Centro de Estudos Paulista de Psiquiatria;Ambiente de Paz;Fomento;;5,15697E+13;30/12/2019;28/12/2020;12;286958;289958;;;6,0742E+15;6,0742E+15;;;;
TFM/089/2019/SMDHC/CPDDH;Associação Quintessa;Prêmio Impacto Público;Fomento;;1,36158E+13;30/12/2019;28/12/2020;12;630000;630000;;;6,0742E+15;6,0742E+15;;;;
